transaction_name,hash,txSize,cpu_units,memory_units
publish_phase1_reference_script,fddfc205a4c76af9011766fcfde94d77d4fb2f940eb2eabf20df26d220f4a73b,15792,0,0
phase1_setup_stake_distribution_standard,6b97ee5f1113c8977223afdd4822599a6f0cb42e597425a7a8173ed33dcf16f2,4677,7104668459,13352829
phase2_verify_stake_distribution_standard,6fae780c464b7b25d8d59a35c4afc96176074d538bd011ff5a1f36c4e448de4a,6592,7199817296,791978
phase1_setup_cardano_transactions,99f3fce5834f005ddb3855e73c793ef28cbca6010af1487e7d6ffa1dd226e4db,4677,7047840740,13172865
phase2_verify_cardano_transactions,6b23bead0d66c75707a3e0619b437bee7b8f5734fb88c0d6b011e0a65e4983ec,6592,7199817296,791978
stake_distribution_genesis_tx,c4e0c130dea537e348bc514695055dc5a758c387c47ed98f1254e1938c04a61e,10861,446244654,1168515
stake_distribution_standard_tx,f157c2b52b74c15b817b23ae273542212fb6c2ea7b1b2c90002166e7fe8e68aa,6184,478022993,1564953
locking_txs_updater_seed_tx,5542fce5c83015cbd3fcd56f083327425063db1e12620847be7f2b653383e95f,281,0,0
publish_minting_txs_updater_spend_reference_script,a6d0e3a6c99139e451a1ab73d1b8b179be5387a0f8e5dc11f49dfc4cdb1bc46b,6818,0,0
publish_bridge_minting_reference_script,828d58596505f56e15f9e2d5eff220639cf1120bd97b864f689f116c5a6da106,8513,0,0
minting_txs_updater_seed_tx,d8089bacee66f1205e28fd3b25a8b03585caa0c66bbdb491b55cde8a83dd3436,1255,19076072,54401
bridge_mint_tx,ed684f35f835c6fd02900a127c9351142f4eccac25abc0fa8831aa8c8b0302aa,2402,5850970763,2616705
